Harry Potter and the Half-Blood Prince,137.319
The Blind Side,57.79
Scooby-Doo on Zombie Island,35.389
The Hustler,27.714
PK,25.053
The Man from Nowhere,27.529
The Bridges of Madison County,34.136
Mortal Kombat Legends: Battle of the Realms,71.968
Charade,25.926
High Noon,32.448
Fried Green Tomatoes,27.666
Hunt for the Wilderpeople,29.747
Harry Potter and the Order of the Phoenix,133.528
A Charlie Brown Christmas,40.944
The Martian,75.54
Strangers on a Train,25.077
The Gentlemen,49.766
Little Miss Sunshine,24.843
The Fallout,62.722
The Black Phone,65.428
Black Swan,47.102
The Princess Bride,41.48
Breakfast at Tiffany's,40.21
Brazil,22.806
The Killing,25.896
Three Colors: Blue,20.845
Memoirs of a Geisha,32.556
All the Bright Places,39.424
The Warriors,41.548
Roma,25.683
Mississippi Burning,29.407
How to Train Your Dragon 2,83.75
Captain America: The Winter Soldier,57.712
What's Eating Gilbert Grape,40.865
All the President's Men,23.566
Berserk: The Golden Age Arc III - The Advent,23.228
Cast Away,46.622
Jaws,55.181
Knockin' on Heaven's Door,20.258
Wrath of Man,154.04
Another Round,26.401
A Frozen Rooster,66.059
Barbie in The 12 Dancing Princesses,42.537
In the Heat of the Night,27.448
Corpus Christi,33.111
Stagecoach,25.939
Godzilla vs. Kong,134.677
Atonement,38.892
Primal Fear,36.193
The Graduate,32.826
The Count of Monte Cristo,30.957
Sniper: The White Raven,80.657
Avatar: The Way of Water,422.762
Lilya 4-ever,20.598
The Terminator,73.339
Stand and Deliver,24.697
The Philadelphia Story,20.026
Aladdin,64.703
A Streetcar Named Desire,25.558
Evangelion: 1.0 You Are (Not) Alone,38.144
The Greatest Beer Run Ever,36.748
One Cut of the Dead,21.288
The Secret World of Arrietty,37.824
Boogie Nights,29.01
Rurouni Kenshin: The Beginning,43.792
Andhadhun,23.159
Rurouni Kenshin Part II: Kyoto Inferno,40.666
Sword of the Stranger,21.669
Planet of the Apes,68.772
To All the Boys I've Loved Before,50.324
Kubo and the Two Strings,34.797
Iron Man,120.877
Battleship Potemkin,20.308
Breakthrough,21.983
Kingsman: The Secret Service,80.788
Mickey's Christmas Carol,42.643
Amores Perros,26.208
Teen Wolf: The Movie,50.302
Spies in Disguise,48.654
Remember the Titans,42.813
Blue Velvet,27.212
Balkan Line,72.66
The Raid 2,31.986
Giant,24.477
The Last Emperor,22.949
Carl's Date,206.128
The Ultimate Gift,33.813
Fireproof,46.148
Encanto,196.443
A Dog's Purpose,53.043
Detachment,58.838
Get Out,68.487
A Little Princess,34.326
The Man from Earth,20.044
The Killer,25.138
Feel the Beat,36.273
Boyz n the Hood,29.164
Night of the Living Dead,39.242
The World's Fastest Indian,24.55
The Wild Bunch,26.114
The Irishman,46.301
A Man Called Ove,25.158
The Bad Guys,93.279
Seven Pounds,26.75
The Banker,28.046
Anastasia,48.94
The Others,44.099
The Big Sleep,20.853
My Hero Academia: World Heroes' Mission,54.37
Edge of Tomorrow,72.873
King Kong,28.123
I Still Believe,36.947
Deadpool,110.954
Godzilla,28.898
Groundhog Day,43.637
Sin Nombre,24.272
Children of Men,44.766
Who Am I,26.416
The Little Prince,28.89
Yu-Gi-Oh!: The Dark Side of Dimensions,30.639
Ready Player One,92.089
Ferris Bueller's Day Off,38.751
Z-O-M-B-I-E-S 2,29.891
The Danish Girl,27.837
Tangled,126.321
JFK,39.82
Butch Cassidy and the Sundance Kid,31.046
Work It,23.591
Kikujiro,25.376
Twelve Monkeys,56.27
Beasts of No Nation,22.809
Searching,43.645
The Fault in Our Stars,46.108
Changeling,29.46
Sleepers,31.392
Tombstone,43.89
I Origins,22.436
Thor: Ragnarok,120.878
Being There,24.802
The Dirty Dozen,37.995
Boruto: Naruto the Movie,56.319
Forever My Girl,30.777
Arrival,78.86
Billy Elliot,22.14
The Longest Day,26.248
To All the Boys: Always and Forever,37.429
The Longest Ride,33.585
Toy Story 2,98.477
Mission: Impossible - Dead Reckoning Part One,762.172
Tell It to the Bees,21.742
The Longest Ride,33.585
The Valet,42.798
Mad Max: Fury Road,153.395
10 Things I Hate About You,41.108
The Garden of Words,32.921
Elvis,74.359
Lost Highway,31.238
Shang-Chi and the Legend of the Ten Rings,88.763
The Curious Case of Benjamin Button,51.009
The Tomorrow War,173.331
What We Do in the Shadows,24.786
American Gangster,45.31
The Last Samurai,51.976
Drive,51.573
Courageous,29.988
Avatar,151.812
Thelma & Louise,43.771
Moulin Rouge!,33.058
The Wizard of Oz,70.664
Ex Machina,60.735
Mary Poppins,42.598
The Hobbit: The Desolation of Smaug,80.217
Moon,38.162
Pandora,41.455
I Am Sam,25.008
Apocalypto,66.042
The Call of the Wild,69.334
The Anthem of the Heart,23.36
Moana,22.947
The Holy Mountain,24.086
Coach Carter,42.379
Rurouni Kenshin Part I: Origins,43.516
The Butterfly Effect,37.981
Guess Who's Coming to Dinner,21.198
Undisputed III: Redemption,58.006
The Game,34.94
The Witcher: Nightmare of the Wolf,23.583
We Need to Talk About Kevin,22.477
Love and Death,22.212
Fatherhood,24.566
Halloween,55.009
Bāhubali: The Beginning,43.321
Where Eagles Dare,31.69
Kramer vs. Kramer,21.204
Mysterious Skin,30.577
Beautiful Boy,33.461
Evil Dead II,28.8
Hot Fuzz,42.15
Where the Crawdads Sing,36.148
"Girl, Interrupted",36.347
Sonic the Hedgehog 2,201.596
The Suicide Squad,135.788
Gattaca,41.718
Captain Phillips,27.665
Lady Vengeance,30.722
The Emperor's New Groove,104.273
The Worst Person in the World,28.214
Blade Runner 2049,168.323
The Book of Life,52.455
The Call,30.206
The Wolf's Call,41.563
Champions,24.356
Devdas,25.107
Spartacus,50.348
Strays,140.092
Casino Royale,59.7
Manchester by the Sea,41.262
